trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,-100,-733.4557256650194,"{0: 71, 1: 15, 2: 23, 3: 6, 4: 10}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-100,-429.84174411901114,"{0: 88, 1: 6, 2: 18, 3: 8, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,-14,-172.17803937696627,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-13,-295.524087327215,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,-19,-76.53311637756416,"{0: 36, 1: 5, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,-29,-232.8984171044679,"{0: 47, 1: 4, 2: 5, 3: 4, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,2,-35.80240309447664,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,-12,-180.976014365944,"{0: 23, 1: 4, 2: 10, 3: 5, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-5,-10.855563718110984,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,-32,-204.26997641025972,"{0: 44, 1: 4, 2: 9, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,8,-63.13427595216891,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,13,-74.04793448228533,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,17.583570198050282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,14,8.67287614533905,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,17.468823303534954,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,9.96748495247197,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,14,-9.710458454646671,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-4,-12.375505017824795,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,19,19.619928037436406,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,20.82306544343594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,1,48.70217003070302,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,14.087276266255838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,-7,49.421254357678514,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,15,-32.88233042977021,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,12,14.765134033014323,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,20.38974744704937,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,37.38480119381037,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,-57.98888853607474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",35,17,-3.1157989692116566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,1,12.10516673056507,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
