trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-106.49283651121614,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.25}",30,0,-106.3164087700657,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",25,0,-12.267425054391534,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.0625}",30,0,21.048841183467534,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.04}",20,0,13.236593129190586,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",25,3,37.39149326424902,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",25,0,15.720568184311025,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.015625}",20,1,33.11110822369089,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",35,9,38.57299372169878,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.01}",25,6,-31.683072435211763,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",20,12,14.157233656914103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",25,1,40.66939102827987,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",25,2,36.137836577501474,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",25,0,37.42395773029953,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",25,15,18.704325610465606,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.00390625}",25,17,1.4488675092723997,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
