trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-160.28272922137137,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-160.587646336681,"{0: 19, 1: 4, 2: 2, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-209.46743935265897,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-41.94293384325436,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-115.11643803750398,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-47.87298829074969,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-265.0135088182139,"{0: 19, 1: 2, 2: 8, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-79.5945647573959,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-165.010487360815,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-68.66291480784706,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-308.12797796521323,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-80.90293810283576,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-81.84666651705639,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-37.939247363860396,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-236.46502393361655,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,14,-115.9375069057569,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,4,-144.1009052891318,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-111.34926993989437,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-79.36762864766048,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",20,0,-82.60252451068914,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-97.16854332351961,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-94.26213381609648,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-67.13360923636046,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-86.85063710757265,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-78.34634500684672,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,6,-104.788395165347,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",25,0,-114.62056372527763,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-124.46057063876441,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-73.05342882655626,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-220.02249292023194,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 4}",0
